Symbol,Beta
A,1.2494
AAP,0.9211
AAPL,1.1002
ABBV,1.1157
ABMD,1.3486
ABT,1.0727
ACC,0.4847
ACGL,0.8787
ACHC,1.1001
ACM,1.403
ACN,1.1245
ADBE,1.3624
ADI,1.1977
ADP,1.0187
ADS,1.1079
ADSK,1.6877
AEE,0.2844
AEP,0.2389
AES,0.8352
AET,0.773
AFG,0.7833
AFL,1.1204
AGIO,2.1261
AGN,0.9558
AGNC,0.3311
AGO,0.871
AGR,0.5052
AHL,0.6947
AIG,0.9693
AIV,0.575
AIZ,0.8648
AJG,0.85
AKAM,1.3396
AL,1.443
ALGN,1.3717
ALKS,1.41
ALL,0.7473
ALLY,1.1452
ALNY,1.7133
ALXN,1.4531
AMAT,1.5915
AMD,1.9125
AMG,1.6378
AMGN,1.1515
AMH,0.6152
AMP,1.5699
AMT,0.6595
AMTD,1.4168
AMZN,1.2851
AN,0.9908
ANAT,0.8027
ANET,1.5022
ANSS,1.1022
ANTM,0.93
AON,0.7928
APA,1.4409
APC,1.4828
APH,0.9595
APLE,0.5925
AR,0.9518
ARE,0.7018
ARRS,1.123
ASB,1.1362
ATH,-0.522
ATHN,0.8823
ATO,0.3877
AVB,0.5305
AVGO,1.2945
AWK,0.3374
AXP,0.9506
AXS,0.5449
AZO,0.6471
AZPN,1.0858
BA,1.2248
BAC,1.4666
BAH,0.8076
BAX,0.896
BBT,1.094
BBY,0.9022
BDN,0.7368
BDX,0.861
BEN,1.4046
BFAM,0.7969
BGCP,1.1101
BHF,-0.2359
BHGE,1.1412
BIIB,1.1921
BIO,0.9154
BK,1.2248
BKI,-0.4059
BKU,1.1514
BLK,1.4153
BLUE,2.091
BMRN,1.42
BMY,0.7879
BOH,0.9608
BOKF,1.184
BPOP,1.0337
BR,0.9233
BRKR,1.066
BRO,0.4759
BRX,0.6331
BSX,0.9994
BURL,0.818
BWXT,0.6885
BXP,0.7303
C,1.4395
CA,0.9373
CACC,1.0412
CAG,0.5805
CASY,0.5121
CB,0.8037
CBOE,0.4706
CBSH,1.0206
CCI,0.5238
CDEV,-0.2337
CDK,0.8263
CDNS,1.0463
CDW,1.002
CELG,1.2207
CERN,0.9581
CFG,1.3012
CFR,1.2585
CGNX,1.4707
CHD,0.4361
CHE,0.8887
CHK,2.2046
CI,0.8201
CIM,0.5227
CINF,0.8188
CIT,1.1831
CL,0.5616
CLGX,0.8831
CLH,0.9604
CLNY,0.9858
CLR,1.5964
CLX,0.4245
CMA,1.3956
CME,0.7434
CMS,0.2279
CNA,0.9136
CNC,1.0605
CNDT,-0.5662
CNP,0.5537
CNX,-0.472
COF,1.2918
COG,1.0408
COHR,1.5043
COL,0.6757
COLM,0.9557
COMM,1.159
CONE,0.7687
COO,0.8065
COP,1.3377
COR,0.6674
COST,0.6832
COTY,0.646
CPB,0.3911
CPRT,1.0241
CPT,0.533
CRI,0.7217
CRL,1.0872
CRM,1.3292
CSCO,1.1916
CSGP,1.0832
CTLT,1.2134
CTSH,1.0807
CTXS,1.1247
CUBE,0.4091
CVS,0.8104
CVX,1.0087
CW,1.1708
CXO,1.3619
CXP,0.6149
CY,1.6273
D,0.2574
DATA,1.8113
DEI,0.6855
DFS,1.1745
DG,0.6634
DGX,0.8845
DHR,0.9286
DKS,0.9107
DLB,0.8642
DLR,0.6129
DLTR,0.8528
DNB,0.9219
DOX,0.6997
DRE,0.6827
DTE,0.2407
DUK,0.1875
DVA,0.8464
DVMT,-0.3966
DVN,1.7426
DXC,-0.2811
DXCM,1.0589
ED,0.1253
EEFT,1.0135
EFX,0.9125
EGN,1.5282
EIX,0.28
EL,0.8439
ELS,0.3747
ENR,0.8859
EOG,1.141
EPAM,1.2612
EPR,0.5838
EQC,0.5441
EQIX,0.7094
EQR,0.4828
EQT,1.0752
