day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,EL,10000.0,71.08836283500392,140.67,-2.0070768016163303
29,EL,short to hedge,BF.A,-103.00700496590233,-2.2071353110328333,46.67,-99.0
29,EL,short to hedge,BF.B,-147.40680250761534,-3.1768707436986063,46.4,-99.0
29,EL,short to hedge,CAG,-89.84832006453787,-2.731782306614104,32.89,-99.0
29,EL,short to hedge,CHD,-126.05193291253897,-1.923575963872104,65.53,-99.0
29,EL,short to hedge,CL,-131.64945327111846,-2.1261216613552723,61.92,-99.0
29,EL,short to hedge,CLX,-1046.4287907127618,-6.55205554262577,159.71,-99.0
29,EL,short to hedge,COLM,-1779.4992539405168,-19.79200593861102,89.91,-99.0
29,EL,short to hedge,COTY,-0.0,-0.0,8.77,-99.0
29,EL,short to hedge,CPB,-229.15247677272916,-5.798392630888896,39.52,-99.0
29,EL,short to hedge,EL,-2104.571437004169,-14.961053792593797,140.67,-99.0
29,EL,short to hedge,ENR,-281.04644641744807,-5.980984175727773,46.99,-99.0
29,EL,short to hedge,FLO,-460.99890766114294,-23.556408158464127,19.57,-99.0
29,EL,short to hedge,GIS,-723.2237504315908,-16.698770501768433,43.31,-99.0
29,EL,short to hedge,HAIN,-13.482418481592095,-0.5994850369760826,22.49,-99.0
29,EL,short to hedge,HBI,-426.3471160907567,-27.12131781747816,15.72,-99.0
29,EL,short to hedge,HRL,-359.32760019826037,-7.909478322655962,45.43,-99.0
29,EL,short to hedge,HSY,-548.3160808516053,-5.164996993703894,106.16,-99.0
29,EL,short to hedge,IFF,-769.2658675431169,-5.514845992853372,139.49,-99.0
29,EL,short to hedge,K,-1295.1343917706006,-20.926391852813065,61.89,-99.0
29,EL,short to hedge,KDP,-2627.549685232074,-100.4415017290548,26.16,-99.0
29,EL,short to hedge,KHC,-368.6941489150032,-7.206687820856201,51.16,-99.0
29,EL,short to hedge,KMB,-389.9673781980404,-3.523695474817389,110.67,-99.0
29,EL,short to hedge,KO,-741.1812838566238,-15.209958626238947,48.73,-99.0
29,EL,short to hedge,LW,-0.0,-0.0,81.79,-99.0
29,EL,short to hedge,MDLZ,-1043.6410292553564,-24.002783561530737,43.48,-99.0
