day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,AMAT,10000.0,284.1716396703609,35.19,-2.185877147095447
29,AMAT,short to hedge,AAPL,-430.700736295609,-2.436365744403264,176.78,-99.0
29,AMAT,short to hedge,ADI,-704.4212409602518,-7.854830965212441,89.68,-99.0
29,AMAT,short to hedge,AMAT,-458.4128948979145,-13.026794398917719,35.19,-99.0
29,AMAT,short to hedge,AMD,-206.56609680384608,-11.02862236005585,18.73,-99.0
29,AMAT,short to hedge,ANET,-240.27616068102185,-1.097051231307743,219.02,-99.0
29,AMAT,short to hedge,APH,-789.8156744821506,-9.306182095936734,84.87,-99.0
29,AMAT,short to hedge,ARRS,-747.6221164974819,-24.368387108783633,30.68,-99.0
29,AMAT,short to hedge,AVGO,-282.4910049069073,-1.2282217604648142,230.0,-99.0
29,AMAT,short to hedge,BA,-384.12729326429246,-1.2105360307080943,317.32,-99.0
29,AMAT,short to hedge,BWXT,-0.0,-0.0,43.19,-99.0
29,AMAT,short to hedge,CDNS,-20.53913907790531,-0.4769888313494034,43.06,-99.0
29,AMAT,short to hedge,CGNX,-261.69804068644225,-6.400049906736176,40.89,-99.0
29,AMAT,short to hedge,COHR,-233.43886281518,-1.8343459281406567,127.26,-99.0
29,AMAT,short to hedge,COL,-94.95501564179679,-0.7322255987183589,129.68,-99.0
29,AMAT,short to hedge,COMM,-2693.928280345872,-151.08963995209604,17.83,-99.0
29,AMAT,short to hedge,CSCO,-760.0549620971777,-16.931498375967426,44.89,-99.0
29,AMAT,short to hedge,CW,-1184.8404799894329,-11.0557103666085,107.17,-99.0
29,AMAT,short to hedge,CY,-456.2838520693997,-33.329718923988295,13.69,-99.0
29,AMAT,short to hedge,DLB,-503.7450329978,-7.4584695439413675,67.54,-99.0
29,AMAT,short to hedge,DVMT,-211.15090474240557,-2.0502078332110454,102.99,-99.0
29,AMAT,short to hedge,FFIV,-580.979253946626,-3.445494330130625,168.62,-99.0
29,AMAT,short to hedge,FLIR,-0.0,-0.0,45.37,-99.0
29,AMAT,short to hedge,FSLR,-201.0545459328554,-4.719590280113977,42.6,-99.0
29,AMAT,short to hedge,FTNT,-152.7914488024051,-2.229230358949593,68.54,-99.0
29,AMAT,short to hedge,FTV,-632.0931044826524,-8.557989500171303,73.86,-99.0
29,AMAT,short to hedge,GD,-1108.6840569230899,-6.272611354586082,176.75,-99.0
29,AMAT,short to hedge,GLW,-397.9194540697266,-12.957325108099205,30.71,-99.0
29,AMAT,short to hedge,GRMN,-573.0317523490636,-8.799627646637953,65.12,-99.0
29,AMAT,short to hedge,HEI,-594.9627953656809,-7.316315732485009,81.32,-99.0
29,AMAT,short to hedge,HEI.A,-490.2164702964905,-7.653652932029517,64.05,-99.0
29,AMAT,short to hedge,HII,-1618.7549371979105,-7.693702172993871,210.4,-99.0
29,AMAT,short to hedge,HPE,-585.1623864657107,-39.806965065694605,14.7,-99.0
29,AMAT,short to hedge,HPQ,-874.7787042533427,-38.604532403060134,22.66,-99.0
29,AMAT,short to hedge,HRS,-1110.2719112445839,-7.668153265036149,144.79,-99.0
29,AMAT,short to hedge,HXL,-1169.483655815017,-19.675027856914824,59.44,-99.0
29,AMAT,short to hedge,INTC,-316.6899580207019,-6.733786051896702,47.03,-99.0
