day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,AJG,10000.0,130.78733978550878,76.46,-2.0459864508575136
29,AJG,short to hedge,ACC,-84.52290679512907,-1.952481099448581,43.29,-99.0
29,AJG,short to hedge,ACGL,-142.65634690127854,-5.094869532188519,28.0,-99.0
29,AJG,short to hedge,AFG,-49.775679613552114,-0.4826966603331275,103.12,-99.0
29,AJG,short to hedge,AFL,-62.27665228963842,-1.4029432820373602,44.39,-99.0
29,AJG,short to hedge,AGNC,-70.4599883813067,-4.026285050360383,17.5,-99.0
29,AJG,short to hedge,AGO,-61.56185549671869,-1.5230543170885376,40.42,-99.0
29,AJG,short to hedge,AHL,-206.1396821613924,-4.9552808211873165,41.6,-99.0
29,AJG,short to hedge,AIG,-33.15010248409222,-0.7558162901069818,43.86,-99.0
29,AJG,short to hedge,AIV,-123.85429149984203,-2.684314943646338,46.14,-99.0
29,AJG,short to hedge,AIZ,-62.66935674531544,-0.6386360618089824,98.13,-99.0
29,AJG,short to hedge,AJG,-99.2909546101541,-1.2985999818225753,76.46,-99.0
29,AJG,short to hedge,AL,-70.86420518326607,-1.890216195872661,37.49,-99.0
29,AJG,short to hedge,ALL,-14.588469921960558,-0.16564630319019596,88.07,-99.0
29,AJG,short to hedge,ALLY,-101.61186906132747,-4.137291085558936,24.56,-99.0
29,AJG,short to hedge,AMG,-58.83023759731082,-0.5379010477947409,109.37,-99.0
29,AJG,short to hedge,AMH,-101.65396200131742,-5.123687600872854,19.84,-99.0
29,AJG,short to hedge,AMP,-81.816071702364,-0.6617281761757037,123.64,-99.0
29,AJG,short to hedge,AMT,-57.99465390738127,-0.3617656659433677,160.31,-99.0
29,AJG,short to hedge,AMTD,-77.96351120937102,-1.4981458725859151,52.04,-99.0
29,AJG,short to hedge,ANAT,-45.95503839449837,-0.36649683702447056,125.39,-99.0
29,AJG,short to hedge,AON,-77.93858425811555,-0.4838802027572829,161.07,-99.0
29,AJG,short to hedge,APLE,-10.24557018965909,-0.6525840885133178,15.7,-99.0
29,AJG,short to hedge,ARE,-193.43128326179948,-1.5861523842705985,121.95,-99.0
29,AJG,short to hedge,ASB,-145.68546063523576,-6.39532311831588,22.78,-99.0
