day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,AGIO,10000.0,160.7717041800643,62.2,-2.5450361252669995
29,AGIO,short to hedge,A,-770.1038455269495,-11.371881948123885,67.72,-99.0
29,AGIO,short to hedge,ABBV,-1728.0272793482645,-20.058354954709976,86.15,-99.0
29,AGIO,short to hedge,ABMD,-269.8128902142772,-0.8946050736547653,301.6,-99.0
29,AGIO,short to hedge,ABT,-1169.9657949008033,-17.072315699705285,68.53,-99.0
29,AGIO,short to hedge,AGIO,-856.2238732987694,-13.765657126989861,62.2,-99.0
29,AGIO,short to hedge,AGN,-745.0414312246271,-4.8275865432814555,154.33,-99.0
29,AGIO,short to hedge,ALGN,-160.31997454364316,-0.7431854929707173,215.72,-99.0
29,AGIO,short to hedge,ALKS,-239.91732059086695,-6.984492593620581,34.35,-99.0
29,AGIO,short to hedge,ALNY,-873.6360266247424,-12.020308566658535,72.68,-99.0
29,AGIO,short to hedge,ALXN,-1406.4574609996462,-11.908030319190976,118.11,-99.0
29,AGIO,short to hedge,AMGN,-2448.5540665357107,-12.701945668598384,192.77,-99.0
29,AGIO,short to hedge,BAX,-7182.957976044766,-109.61327599641028,65.53,-99.0
29,AGIO,short to hedge,BDX,-702.8807406483796,-2.903985872782927,242.04,-99.0
29,AGIO,short to hedge,BIIB,-1910.9705745312658,-6.055807372706508,315.56,-99.0
29,AGIO,short to hedge,BIO,-946.1781812576302,-3.5153001235608192,269.16,-99.0
29,AGIO,short to hedge,BLUE,-1159.2136985893708,-9.919679091129307,116.86,-99.0
29,AGIO,short to hedge,BMRN,-1327.8493083581438,-14.187940040155398,93.59,-99.0
29,AGIO,short to hedge,BMY,-814.7014941376211,-15.31393785972972,53.2,-99.0
29,AGIO,short to hedge,BRKR,-1111.3676104642186,-34.94866699573014,31.8,-99.0
29,AGIO,short to hedge,BSX,-1233.3933613677318,-35.647206975946006,34.6,-99.0
29,AGIO,short to hedge,CELG,-1119.3922782302413,-16.57376781507612,67.54,-99.0
