day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,HP,10000.0,166.41704110500913,60.09,-2.8058367219499276
29,HP,short to hedge,ACM,-2880.5373545281227,-91.35862209096487,31.53,-99.0
29,HP,short to hedge,BHGE,-1784.1863225774355,-79.22674611800335,22.52,-99.0
29,HP,short to hedge,CLH,-2527.9684342737933,-39.32133199990346,64.29,-99.0
29,HP,short to hedge,FLR,-2919.8442440133645,-70.08747585245715,41.66,-99.0
29,HP,short to hedge,HAL,-1663.5055718728554,-52.09851462176184,31.93,-99.0
29,HP,short to hedge,HP,-1276.733317669419,-21.24701810067264,60.09,-99.0
29,HP,short to hedge,JEC,-1106.7523609392538,-16.972126375391102,65.21,-99.0
29,HP,short to hedge,KMI,-1648.442549296642,-96.00713740807466,17.17,-99.0
29,HP,short to hedge,LNG,-639.8717696011412,-10.700196816072596,59.8,-99.0
29,HP,short to hedge,NBR,-1953.745293743736,-482.40624536882376,4.05,-99.0
29,HP,short to hedge,NOV,-896.7655800465446,-27.550401844747917,32.55,-99.0
29,HP,short to hedge,OKE,-1072.232193770923,-17.58045898952161,60.99,-99.0
29,HP,short to hedge,PTEN,-1003.4303412669406,-68.54032385703145,14.64,-99.0
29,HP,short to hedge,PWR,-2619.2280083806886,-77.01346687388089,34.01,-99.0
29,HP,short to hedge,RES,-1097.8143801640915,-77.91443436224922,14.09,-99.0
29,HP,short to hedge,RIG,-741.0483996204297,-80.02682501300536,9.26,-99.0
29,HP,short to hedge,RSG,-8990.710026405213,-117.34155607420011,76.62,-99.0
29,HP,short to hedge,SLB,-2196.6332556519437,-46.10901040411301,47.64,-99.0
29,HP,short to hedge,WFT,-2986.9773502997887,-4392.613750440865,0.68,-99.0
29,HP,short to hedge,WM,-9033.048520703076,-99.14442454947948,91.11,-99.0
29,HP,short to hedge,WMB,-573.9350057074768,-22.929884367058598,25.03,-99.0
