day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,BBY,10000.0,161.05653084232566,62.09,-2.9974835813754783
29,BBY,short to hedge,AAP,-32.114989311058466,-0.18386093382411672,174.67,-99.0
29,BBY,short to hedge,AMZN,-1015.685001410735,-0.6696544549199495,1516.73,-99.0
29,BBY,short to hedge,AN,-5876.3268467036105,-158.4342638636724,37.09,-99.0
29,BBY,short to hedge,AZO,-63.241262609101426,-0.0771978645391309,819.21,-99.0
29,BBY,short to hedge,BBY,-1494.9675785810048,-24.07742919280085,62.09,-99.0
29,BBY,short to hedge,BURL,-812.8467452334479,-5.472241451686064,148.54,-99.0
29,BBY,short to hedge,CASY,-311.72314306854975,-2.48464166322772,125.46,-99.0
29,BBY,short to hedge,COST,-1287.7431741559922,-5.89167394498784,218.57,-99.0
29,BBY,short to hedge,CRI,-4.651967960197248,-0.05144844017028587,90.42,-99.0
29,BBY,short to hedge,CVS,-401.88486190178554,-5.3520423745077315,75.09,-99.0
29,BBY,short to hedge,DG,-979.5077210343854,-9.31090989576412,105.2,-99.0
29,BBY,short to hedge,DKS,-1409.4257857936145,-40.15458079184087,35.1,-99.0
29,BBY,short to hedge,DLTR,-819.9695438320537,-9.983800606746058,82.13,-99.0
29,BBY,short to hedge,FL,-636.8226965402114,-12.024597744339339,52.96,-99.0
29,BBY,short to hedge,FND,-448.50119123193804,-13.703061143658358,32.73,-99.0
29,BBY,short to hedge,GPS,-1470.6242879834329,-56.97885656658012,25.81,-99.0
29,BBY,short to hedge,GRUB,-723.3303110385697,-9.203846685819693,78.59,-99.0
29,BBY,short to hedge,HD,-1398.1172582569154,-8.258223616402335,169.3,-99.0
29,BBY,short to hedge,JWN,-1201.7819132491725,-22.965448370899534,52.33,-99.0
29,BBY,short to hedge,KMX,-3211.1268239394385,-51.41093217962597,62.46,-99.0
29,BBY,short to hedge,KORS,-169.48887673469977,-3.7414763076092665,45.3,-99.0
29,BBY,short to hedge,KR,-421.4989221533766,-14.27358354735444,29.53,-99.0
29,BBY,short to hedge,KSS,-739.3813112298541,-11.152055976317559,66.3,-99.0
29,BBY,short to hedge,LB,-404.13951547865,-13.76028312831631,29.37,-99.0
29,BBY,short to hedge,LOW,-1205.7828384722814,-13.644707915268544,88.37,-99.0
29,BBY,short to hedge,LULU,-1310.7492295076947,-10.580797784208062,123.88,-99.0
29,BBY,short to hedge,M,-381.4027179840722,-11.70305977244775,32.59,-99.0
29,BBY,short to hedge,MIK,-824.1499796024214,-49.49849727341871,16.65,-99.0
29,BBY,short to hedge,ORLY,-504.0308794518793,-1.458507087944555,345.58,-99.0
29,BBY,short to hedge,PAG,-4558.763834425182,-105.47810815421522,43.22,-99.0
29,BBY,short to hedge,QRTEA,-556.8599782631646,-26.143660951322282,21.3,-99.0
29,BBY,short to hedge,RL,-714.5637658872523,-6.224423047798365,114.8,-99.0
29,BBY,short to hedge,ROST,-963.4876889341211,-11.803107790446175,81.63,-99.0
29,BBY,short to hedge,SFM,-0.0,-0.0,26.82,-99.0
29,BBY,short to hedge,TGT,-994.1718087260716,-14.35419879766202,69.26,-99.0
29,BBY,short to hedge,TIF,-2108.9233587408116,-20.605015718034313,102.35,-99.0
29,BBY,short to hedge,TJX,-688.511737891505,-14.915765552242311,46.16,-99.0
29,BBY,short to hedge,TPR,-1828.4848362542639,-48.28320137983269,37.87,-99.0
29,BBY,short to hedge,TSCO,-621.2525237467993,-6.980365435357295,89.0,-99.0
29,BBY,short to hedge,ULTA,-38.22731235811948,-0.1258470909866983,303.76,-99.0
29,BBY,short to hedge,URBN,-1738.1667753810464,-46.475047470081456,37.4,-99.0
29,BBY,short to hedge,W,-0.0,-0.0,88.16,-99.0
29,BBY,short to hedge,WBA,-728.4465020091483,-9.132980215761638,79.76,-99.0
29,BBY,short to hedge,WMT,-1101.1619930816864,-11.69334175514162,94.17,-99.0
29,BBY,short to hedge,WSM,-1283.9882776569411,-24.40114552749793,52.62,-99.0
29,,sell to open,FL,-10000.0,-188.82175226586102,52.96,4.284933109660343
29,FL,long to hedge,AAP,43.738367217472245,0.2504057206015472,174.67,-99.0
29,FL,long to hedge,AMZN,1383.2918684386561,0.9120224881413673,1516.73,-99.0
29,FL,long to hedge,AN,8003.145790321364,215.77637612082404,37.09,-99.0
29,FL,long to hedge,AZO,86.13017244072402,0.10513808723126429,819.21,-99.0
29,FL,long to hedge,BBY,2036.0411861534008,32.791773009396046,62.09,-99.0
29,FL,long to hedge,BURL,1107.040363308029,7.452809770486261,148.54,-99.0
29,FL,long to hedge,CASY,424.54509854132334,3.3839080068653224,125.46,-99.0
29,FL,long to hedge,COST,1753.8160541636416,8.024047463804006,218.57,-99.0
29,FL,long to hedge,CRI,6.335654698691114,0.07006917384086611,90.42,-99.0
29,FL,long to hedge,CVS,547.339047780741,7.289107041959528,75.09,-99.0
29,FL,long to hedge,DG,1334.02094517276,12.680807463619391,105.2,-99.0
29,FL,long to hedge,DKS,1919.539252768436,54.68772799910074,35.1,-99.0
29,FL,long to hedge,DLTR,1116.741116364629,13.597237505961635,82.13,-99.0
29,FL,long to hedge,FL,867.3079316300928,16.37666034044737,52.96,-99.0
29,FL,long to hedge,FND,610.8272249314257,18.662609988738946,32.73,-99.0
29,FL,long to hedge,GPS,2002.8873285224527,77.60121381334571,25.81,-99.0
29,FL,long to hedge,GRUB,985.1252465726154,12.534994866682979,78.59,-99.0
29,FL,long to hedge,HD,1904.1378299219796,11.247122444902418,169.3,-99.0
29,FL,long to hedge,JWN,1636.742834565067,31.277332974681194,52.33,-99.0
29,FL,long to hedge,KMX,4373.329937836104,70.01809058335101,62.46,-99.0
29,FL,long to hedge,KORS,230.8319849680453,5.095628807241619,45.3,-99.0
29,FL,long to hedge,KR,574.0520247523481,19.43962156289699,29.53,-99.0
29,FL,long to hedge,KSS,1006.9855851756977,15.188319535078397,66.3,-99.0
29,FL,long to hedge,LB,550.4097281143983,18.74054232599245,29.37,-99.0
29,FL,long to hedge,LOW,1642.191814632382,18.583136976715874,88.37,-99.0
29,FL,long to hedge,LULU,1785.1486910034669,14.410305868610486,123.88,-99.0
29,FL,long to hedge,M,519.4438016264605,15.938748132140548,32.59,-99.0
29,FL,long to hedge,MIK,1122.4345772305942,67.41348812195761,16.65,-99.0
29,FL,long to hedge,ORLY,686.4547729063277,1.9863845503395094,345.58,-99.0
29,FL,long to hedge,PAG,6208.717204186069,143.6537992639072,43.22,-99.0
29,FL,long to hedge,QRTEA,758.4043071626093,35.605836017023904,21.3,-99.0
29,FL,long to hedge,RL,973.1858257824351,8.477228447582188,114.8,-99.0
29,FL,long to hedge,ROST,1312.2027829417116,16.07500652874815,81.63,-99.0
29,FL,long to hedge,SFM,0.0,0.0,26.82,-99.0
29,FL,long to hedge,TGT,1353.9924060428195,19.54941389030926,69.26,-99.0
29,FL,long to hedge,TIF,2872.2059784820904,28.06258894462228,102.35,-99.0
29,FL,long to hedge,TJX,937.7047874360981,20.314228497315817,46.16,-99.0
29,FL,long to hedge,TPR,2490.2683430795983,65.758340192226,37.87,-99.0
29,FL,long to hedge,TSCO,846.102446282375,9.506769059352528,89.0,-99.0
29,FL,long to hedge,ULTA,52.062923311660825,0.1713949279419964,303.76,-99.0
29,FL,long to hedge,URBN,2367.2614669265204,63.29576114776793,37.4,-99.0
29,FL,long to hedge,W,0.0,0.0,88.16,-99.0
29,FL,long to hedge,WBA,992.0931405133061,12.438479695502835,79.76,-99.0
29,FL,long to hedge,WMT,1499.7055472394622,15.925512872883745,94.17,-99.0
29,FL,long to hedge,WSM,1748.702147995143,33.23265199534669,52.62,-99.0
29,,sell to open,LOW,-10000.0,-113.16057485572026,88.37,2.725124744745748
29,LOW,long to hedge,AAP,24.68529145846882,0.14132530748536568,174.67,-99.0
29,LOW,long to hedge,AMZN,780.7095947307652,0.5147320846365306,1516.73,-99.0
29,LOW,long to hedge,AN,4516.8578295666475,121.78101454749655,37.09,-99.0
29,LOW,long to hedge,AZO,48.61060312324864,0.05933839079509361,819.21,-99.0
29,LOW,long to hedge,BBY,1149.1117135613083,18.50719461364645,62.09,-99.0
29,LOW,long to hedge,BURL,624.7973064168548,4.206256270478355,148.54,-99.0
29,LOW,long to hedge,CASY,239.60701236626096,1.9098279321398133,125.46,-99.0
29,LOW,long to hedge,COST,989.8279980665744,4.528654426804111,218.57,-99.0
29,LOW,long to hedge,CRI,3.5757503712880085,0.03954601162671985,90.42,-99.0
29,LOW,long to hedge,CVS,308.91011211938957,4.113864857096678,75.09,-99.0
29,LOW,long to hedge,DG,752.9018099728414,7.15686131152891,105.2,-99.0
29,LOW,long to hedge,DKS,1083.3597350573154,30.86494971673263,35.1,-99.0
29,LOW,long to hedge,DLTR,630.2722688309327,7.674080954960828,82.13,-99.0
29,LOW,long to hedge,FL,489.49584629162837,9.242746342364583,52.96,-99.0
29,LOW,long to hedge,FND,344.7419059616045,10.532902718044747,32.73,-99.0
29,LOW,long to hedge,GPS,1130.4001637102751,43.796984258437625,25.81,-99.0
29,LOW,long to hedge,GRUB,555.9902068092423,7.074566825413441,78.59,-99.0
29,LOW,long to hedge,HD,1074.6673984195634,6.3477105636123055,169.3,-99.0
29,LOW,long to hedge,JWN,923.7535940221164,17.6524669218826,52.33,-99.0
29,LOW,long to hedge,KMX,2468.243124457693,39.517180987154866,62.46,-99.0
29,LOW,long to hedge,KORS,130.27817884790272,2.8758979878124222,45.3,-99.0
29,LOW,long to hedge,KR,323.9865236138743,10.971436627628657,29.53,-99.0
