day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,ACN,10000.0,63.70238246910435,156.98,-2.6999700579312886
29,ACN,short to hedge,ACN,-670.6595891422387,-4.272261365411127,156.98,-99.0
29,ACN,short to hedge,ADBE,-97.55416445390787,-0.43169379791976226,225.98,-99.0
29,ACN,short to hedge,ADP,-557.3248719670652,-3.950417294918239,141.08,-99.0
29,ACN,short to hedge,ADS,-40.19500261759611,-0.20507654396732708,196.0,-99.0
29,ACN,short to hedge,ADSK,-121.4588088383616,-0.8994283829854978,135.04,-99.0
29,ACN,short to hedge,AKAM,-39.6211294737567,-0.5836937164666575,67.88,-99.0
29,ACN,short to hedge,ANSS,-161.22989796372008,-1.060653233101244,152.01,-99.0
29,ACN,short to hedge,ATHN,-0.0,-0.0,131.88,-99.0
29,ACN,short to hedge,AZPN,-164.74995348521267,-2.0859705429882585,78.98,-99.0
29,ACN,short to hedge,BKI,-111.87943917461112,-2.5107594069706263,44.56,-99.0
29,ACN,short to hedge,CA,-124.01867820165211,-2.787876322392989,44.485,-99.0
29,ACN,short to hedge,CDW,-88.57835162499026,-1.0213115603019747,86.73,-99.0
29,ACN,short to hedge,CERN,-1700.8095025494774,-30.054947915700254,56.59,-99.0
29,ACN,short to hedge,CLGX,-52.73928662812875,-1.3301207220209017,39.65,-99.0
29,ACN,short to hedge,CRM,-133.8800296223451,-1.0832594030451095,123.59,-99.0
29,ACN,short to hedge,CSGP,-126.47648259754294,-0.3523021799374455,359.0,-99.0
29,ACN,short to hedge,CTSH,-251.48283573890677,-3.662193617866707,68.67,-99.0
29,ACN,short to hedge,CTXS,-221.88900009084966,-2.0758630376167058,106.89,-99.0
29,ACN,short to hedge,DATA,-143.90971158195558,-1.337326564278,107.61,-99.0
29,ACN,short to hedge,DOX,-311.72882748528326,-4.802477699665434,64.91,-99.0
29,ACN,short to hedge,DXC,-611.4914049274457,-10.508530760052341,58.19,-99.0
29,ACN,short to hedge,EEFT,-431.1749574069845,-3.8799150311075725,111.13,-99.0
29,ACN,short to hedge,EPAM,-107.6238891980357,-0.8929960935781256,120.52,-99.0
29,ACN,short to hedge,FB,-109.59865316039789,-0.8129257762972696,134.82,-99.0
29,ACN,short to hedge,FDC,-105.16957386020515,-6.023457838499722,17.46,-99.0
29,ACN,short to hedge,FEYE,-123.35725304966279,-6.887618819076649,17.91,-99.0
29,ACN,short to hedge,FICO,-197.37553160106697,-1.1003820683562857,179.37,-99.0
29,ACN,short to hedge,FIS,-449.8618773356452,-4.35279997422008,103.35,-99.0
29,ACN,short to hedge,FISV,-499.0022632883851,-6.494042989177317,76.84,-99.0
