day,hedge_stock,action,stocks,new_allocation$,new_quantity,target_price,signal
29,,buy to open,LNT,10000.0,226.9117313365101,44.07,-2.400167613820759
29,LNT,short to hedge,AEE,-494.9363990256205,-7.330219179881821,67.52,-99.0
29,LNT,short to hedge,AEP,-402.89101280720126,-5.32572389698878,75.65,-99.0
29,LNT,short to hedge,AES,-0.0,-0.0,15.07,-99.0
29,LNT,short to hedge,AGR,-253.1688163176883,-5.147800250461332,49.18,-99.0
29,LNT,short to hedge,ATO,-322.96251746363635,-3.304978688739627,97.72,-99.0
29,LNT,short to hedge,AWK,-348.2783452586175,-3.804241892502649,91.55,-99.0
29,LNT,short to hedge,CMS,-429.0703198999407,-8.447929117935434,50.79,-99.0
29,LNT,short to hedge,CNP,-326.3003489205182,-11.73320204676441,27.81,-99.0
29,LNT,short to hedge,D,-433.16979809241576,-5.905518719733004,73.35,-99.0
29,LNT,short to hedge,DTE,-367.77565238184025,-3.1501126542341775,116.75,-99.0
29,LNT,short to hedge,DUK,-367.8868204074635,-4.255486644389398,86.45,-99.0
29,LNT,short to hedge,ED,-200.62706653725803,-2.601829419494982,77.11,-99.0
29,LNT,short to hedge,EIX,-765.8249005474363,-14.290444122922864,53.59,-99.0
29,LNT,short to hedge,ES,-456.4033195191736,-6.871474247503366,66.42,-99.0
29,LNT,short to hedge,ETR,-329.34170173467106,-3.8587194110682024,85.35,-99.0
29,LNT,short to hedge,EVRG,-481.2805618972995,-8.205977184949694,58.65,-99.0
29,LNT,short to hedge,EXC,-361.80255673667256,-8.049000149870357,44.95,-99.0
29,LNT,short to hedge,FE,-330.5926261702036,-8.863073087673019,37.3,-99.0
29,LNT,short to hedge,HE,-129.06393856925482,-3.4666650166332214,37.23,-99.0
29,LNT,short to hedge,LNT,-485.6914690987644,-11.020909214857372,44.07,-99.0
29,LNT,short to hedge,MDU,-135.02775600760359,-5.262188464832564,25.66,-99.0
29,LNT,short to hedge,NEE,-418.1421184110873,-2.3733801703433266,176.18,-99.0
29,LNT,short to hedge,NI,-234.31151880460015,-9.167117324123637,25.56,-99.0
29,LNT,short to hedge,NRG,-3296.6763802969713,-86.39089046899821,38.16,-99.0
29,LNT,short to hedge,OGE,-390.07115279274973,-10.04820074169886,38.82,-99.0
29,LNT,short to hedge,PCG,-394.7330616429579,-16.244158915348063,24.3,-99.0
29,LNT,short to hedge,PEG,-274.47018341277266,-5.1302838021079005,53.5,-99.0
29,LNT,short to hedge,PNW,-337.54239159826193,-3.8558646515679906,87.54,-99.0
29,LNT,short to hedge,PPL,-64.45856691939008,-2.1037391292229137,30.64,-99.0
29,LNT,short to hedge,SCG,-3673.61650945598,-84.19932407646068,43.63,-99.0
29,LNT,short to hedge,SO,-335.0563469532453,-7.342896054202176,45.63,-99.0
29,LNT,short to hedge,SRE,-1360.1416286244494,-12.143037484371478,112.01,-99.0
29,LNT,short to hedge,UGI,-143.0438716911409,-2.5219300368677877,56.72,-99.0
29,LNT,short to hedge,VST,-2593.476663317965,-113.74897646131426,22.8,-99.0
29,LNT,short to hedge,VVC,-5156.624229054719,-71.87934526142625,71.74,-99.0
29,LNT,short to hedge,WEC,-441.32587249271734,-6.235177627758086,70.78,-99.0
29,LNT,short to hedge,WTR,-49.26674273622998,-1.4640933948359578,33.65,-99.0
29,LNT,short to hedge,XEL,-432.2574496590985,-8.517388170622631,50.75,-99.0
29,,sell to open,PEG,-10000.0,-186.9158878504673,53.5,2.0850421392283627
29,PEG,long to hedge,AEE,510.5290406157003,7.561152852720681,67.52,-99.0
29,PEG,long to hedge,AEP,415.58382581294205,5.493507281069954,75.65,-99.0
29,PEG,long to hedge,AES,0.0,0.0,15.07,-99.0
29,PEG,long to hedge,AGR,261.14473124816834,5.30997826856788,49.18,-99.0
29,PEG,long to hedge,ATO,333.137236461379,3.409099840988324,97.72,-99.0
29,PEG,long to hedge,AWK,359.25062254898216,3.924091999442733,91.55,-99.0
29,PEG,long to hedge,CMS,442.58789453844344,8.714075497902018,50.79,-99.0
29,PEG,long to hedge,CNP,336.5802240750878,12.10284876213908,27.81,-99.0
29,PEG,long to hedge,D,446.8165240608418,6.091568153522043,73.35,-99.0
29,PEG,long to hedge,DTE,379.3621793465926,3.2493548552170672,116.75,-99.0
29,PEG,long to hedge,DUK,379.4768496468177,4.389552916678053,86.45,-99.0
29,PEG,long to hedge,ED,206.94768863727577,2.6837983223612474,77.11,-99.0
29,PEG,long to hedge,EIX,789.9517039478393,14.740655046610174,53.59,-99.0
29,PEG,long to hedge,ES,470.78200210504804,7.0879554668028915,66.42,-99.0
29,PEG,long to hedge,ETR,339.7173926839032,3.9802857959449702,85.35,-99.0
29,PEG,long to hedge,EVRG,496.4429854343655,8.464501030423964,58.65,-99.0
29,PEG,long to hedge,EXC,373.2009053016109,8.30257853841181,44.95,-99.0
29,PEG,long to hedge,FE,341.00772666057657,9.142298301892135,37.3,-99.0
29,PEG,long to hedge,HE,133.1300119885393,3.5758799889481416,37.23,-99.0
29,PEG,long to hedge,LNT,500.99285532924904,11.368115618998162,44.07,-99.0
29,PEG,long to hedge,MDU,139.2817155229762,5.427970207442565,25.66,-99.0
29,PEG,long to hedge,NEE,431.3154073406075,2.44815193177777,176.18,-99.0
29,PEG,long to hedge,NI,241.69334713716987,9.455921249498038,25.56,-99.0
29,PEG,long to hedge,NRG,3400.5359738480834,89.11257793102945,38.16,-99.0
29,PEG,long to hedge,OGE,402.3600846476318,10.364762613282632,38.82,-99.0
29,PEG,long to hedge,PCG,407.16886383101814,16.75592032226412,24.3,-99.0
29,PEG,long to hedge,PEG,283.1171837254275,5.291909976176215,53.5,-99.0
29,PEG,long to hedge,PNW,348.17643981943064,3.977341099148168,87.54,-99.0
29,PEG,long to hedge,PPL,66.48929113640648,2.170016029256086,30.64,-99.0
29,PEG,long to hedge,SCG,3789.3513507085463,86.85196769902696,43.63,-99.0
29,PEG,long to hedge,SO,345.6120739937471,7.574229103522838,45.63,-99.0
29,PEG,long to hedge,SRE,1402.9919846876546,12.525595792229753,112.01,-99.0
29,PEG,long to hedge,UGI,147.55037359184644,2.6013817629027933,56.72,-99.0
29,PEG,long to hedge,VST,2675.182418164377,117.33256220019197,22.8,-99.0
29,PEG,long to hedge,VVC,5319.080240729482,74.14385615736664,71.74,-99.0
29,PEG,long to hedge,WEC,455.2295501526261,6.431612745869258,70.78,-99.0
29,PEG,long to hedge,WTR,50.81885865114157,1.5102186820547272,33.65,-99.0
29,PEG,long to hedge,XEL,445.875432697819,8.785722811779685,50.75,-99.0
